Time,Population,Resources,Slows,Middles,Fasts
sec_0,1,1000,0,0,0
sec_1,2,989,0,0,1
sec_2,5,954,2,1,1
sec_3,12,895,4,4,3
sec_4,21,756,9,5,6
sec_5,43,546,14,13,15
sec_6,64,358,22,20,21
sec_7,71,326,26,22,22
sec_8,76,323,30,23,23
sec_9,71,440,32,18,21
sec_10,80,382,34,22,24
sec_11,84,371,38,21,25
sec_12,89,408,35,23,31
sec_13,101,329,38,28,35
sec_14,107,262,42,26,39
sec_15,107,339,40,26,41
sec_16,115,205,41,29,45
sec_17,119,148,40,31,48
sec_18,110,165,40,27,43
sec_19,106,253,37,25,44
sec_20,107,218,34,28,45
sec_21,109,134,34,28,47
sec_22,106,117,34,29,43
sec_23,102,151,32,27,43
sec_24,86,249,30,23,33
sec_25,89,211,28,26,35
sec_26,96,122,27,31,38
sec_27,90,168,27,29,34
sec_28,86,204,26,30,30
sec_29,84,161,25,30,29
sec_30,77,199,23,29,25
sec_31,77,189,22,31,24
sec_32,79,177,26,28,25
sec_33,78,180,28,25,25
sec_34,79,146,28,25,26
sec_35,74,244,29,19,26
sec_36,75,214,28,19,28
sec_37,82,129,30,20,32
sec_38,81,124,31,19,31
sec_39,72,206,29,19,24
sec_40,74,200,28,19,27
sec_41,69,256,28,14,27
sec_42,74,171,30,14,30
sec_43,74,209,27,17,30
sec_44,77,188,30,21,26
sec_45,83,164,33,24,26
sec_46,79,208,31,24,24
sec_47,77,200,31,22,24
sec_48,79,165,33,23,23
sec_49,78,199,31,21,26
sec_50,73,297,27,19,27
sec_51,82,258,28,25,29
