Time,Population,Resources,Slows,Middles,Fasts
sec_211,156,274,56,46,54
sec_212,154,300,56,43,55
sec_213,155,265,58,38,59
sec_214,157,235,59,39,59
sec_215,147,235,56,36,55
sec_216,147,192,56,35,56
sec_217,154,195,56,38,60
sec_218,154,240,57,40,57
sec_219,151,242,60,39,52
sec_220,150,224,57,44,49
sec_221,152,195,62,42,48
sec_222,154,191,63,42,49
sec_223,155,205,63,42,50
sec_224,160,223,63,44,53
sec_225,154,203,61,43,50
sec_226,153,240,60,41,52
sec_227,156,242,59,41,56
sec_228,149,200,56,42,51
sec_229,147,316,51,44,52
sec_230,153,197,53,47,53
sec_231,156,197,52,51,53
sec_232,145,218,51,48,46
sec_233,147,211,52,47,48
sec_234,152,224,61,43,48
sec_235,151,196,62,46,43
sec_236,154,207,62,45,47
sec_237,161,214,64,47,50
sec_238,155,263,63,42,50
sec_239,157,207,58,45,54
sec_240,162,235,60,44,58
sec_241,154,210,55,42,57
sec_242,152,197,51,41,60
sec_243,156,207,48,45,63
sec_244,155,242,49,47,59
sec_245,161,238,52,48,61
sec_246,156,205,52,43,61
sec_247,156,216,60,42,54
sec_248,152,293,55,41,56
sec_249,149,219,60,38,51
sec_250,149,212,56,40,53
sec_251,152,225,58,40,54
sec_252,154,239,60,38,56
sec_253,158,198,65,40,53
sec_254,150,281,70,33,47
sec_255,162,186,71,45,46
sec_256,159,251,71,44,44
sec_257,160,196,73,45,42
sec_258,172,199,75,48,49
sec_259,170,192,74,49,47
sec_260,169,209,72,45,52
sec_261,174,191,71,48,55
sec_262,173,244,65,51,57
sec_263,177,218,63,51,63
sec_264,176,253,59,50,67
sec_265,183,222,60,52,71
sec_266,183,212,65,50,68
sec_267,181,226,63,47,71
sec_268,175,227,65,42,68
sec_269,171,206,68,36,67
sec_270,176,210,76,32,68
sec_271,180,204,73,35,72
sec_272,177,214,73,34,70
sec_273,174,258,69,39,66
sec_274,171,224,71,35,65
sec_275,176,193,71,35,70
sec_276,173,208,65,39,69
sec_277,175,192,62,42,71
sec_278,178,193,62,45,71
sec_279,165,249,59,43,63
sec_280,164,235,58,45,61
sec_281,152,294,50,48,54
sec_282,156,250,54,47,55
sec_283,150,294,52,43,55
sec_284,152,223,50,43,59
sec_285,145,224,48,43,54
sec_286,148,224,49,42,57
sec_287,150,210,54,43,53
sec_288,143,194,56,37,50
sec_289,150,192,58,38,54
sec_290,151,201,60,40,51
sec_291,162,193,63,43,56
sec_292,164,195,65,45,54
sec_293,166,212,70,42,54
sec_294,159,249,68,39,52
sec_295,159,222,70,35,54
sec_296,153,237,63,35,55
sec_297,149,194,62,36,51
sec_298,156,193,64,37,55
sec_299,153,191,60,40,53
sec_300,149,262,54,42,53
sec_301,148,258,56,37,55
sec_302,150,225,56,38,56
sec_303,148,206,57,38,53
sec_304,147,191,56,38,53
sec_305,146,252,58,36,52
sec_306,145,198,57,35,53
sec_307,133,319,56,30,47
sec_308,134,194,57,32,45
sec_309,142,191,59,36,47
sec_310,152,194,65,38,49
sec_311,147,238,60,38,49
sec_312,151,195,57,43,51
sec_313,144,196,56,40,48
sec_314,138,238,54,37,47
sec_315,139,232,51,37,51
sec_316,145,217,56,42,47
sec_317,153,199,57,45,51
sec_318,160,204,55,48,57
sec_319,162,225,55,46,61
sec_320,164,195,56,49,59
sec_321,155,233,53,41,61
sec_322,158,201,54,43,61
sec_323,171,192,62,46,63
sec_324,167,207,61,45,61
sec_325,160,230,61,44,55
sec_326,161,250,61,45,55
sec_327,172,193,66,48,58
sec_328,165,227,65,46,54
sec_329,164,188,66,43,55
sec_330,165,209,66,41,58
sec_331,163,240,63,42,58
sec_332,159,202,64,39,56
sec_333,150,257,61,37,52
sec_334,146,266,64,31,51
sec_335,145,205,67,30,48
sec_336,148,197,64,32,52
sec_337,149,198,64,33,52
sec_338,150,247,63,33,54
sec_339,149,200,63,35,51
sec_340,153,194,65,38,50
sec_341,152,198,65,39,48
sec_342,147,223,57,40,50
sec_343,145,196,57,40,48
sec_344,145,192,52,41,52
sec_345,145,269,49,41,55
sec_346,146,292,49,42,55
sec_347,144,200,50,41,53
sec_348,152,195,53,47,52
sec_349,154,195,55,48,51
sec_350,162,189,59,47,56
sec_351,161,188,60,43,58
sec_352,169,195,62,46,61
sec_353,170,193,63,42,65
sec_354,176,253,61,44,71
sec_355,181,224,64,43,74
sec_356,183,187,65,43,75
sec_357,179,216,68,42,69
sec_358,170,194,63,39,68
sec_359,165,298,58,36,71
sec_360,165,237,59,34,72
sec_361,164,313,53,38,73
sec_362,159,240,50,39,70
sec_363,158,260,54,40,64
sec_364,157,194,58,37,62
sec_365,155,272,57,37,61
sec_366,159,216,57,38,64
sec_367,159,198,57,38,64
sec_368,160,194,59,35,66
sec_369,153,229,53,31,69
sec_370,157,195,58,35,64
sec_371,152,202,58,38,56
sec_372,142,252,53,38,51
sec_373,140,254,53,36,51
sec_374,139,262,51,39,49
sec_375,139,192,53,42,44
sec_376,146,193,55,47,44
sec_377,146,237,51,47,48
sec_378,145,295,53,48,44
sec_379,153,203,52,52,49
sec_380,155,205,51,52,52
sec_381,166,218,55,54,57
sec_382,166,193,56,58,52
sec_383,165,215,60,51,54
sec_384,169,228,60,51,58
sec_385,172,227,63,49,60
sec_386,173,202,59,51,63
sec_387,171,246,61,51,59
sec_388,170,196,66,45,59
sec_389,157,257,62,45,50
sec_390,164,225,66,49,49
sec_391,157,271,64,49,44
sec_392,163,194,65,49,49
sec_393,165,210,66,50,49
sec_394,165,195,66,52,47
sec_395,164,195,63,54,47
sec_396,162,220,60,55,47
sec_397,154,252,61,53,40
sec_398,150,208,59,54,37
sec_399,148,244,61,47,40
sec_400,140,224,58,45,37
sec_401,140,363,56,45,39
sec_402,150,217,53,52,45
sec_403,158,209,51,53,54
sec_404,162,209,53,50,59
sec_405,157,206,51,48,58
sec_406,147,227,53,42,52
sec_407,146,301,55,40,51
sec_408,144,223,54,41,49
sec_409,144,225,54,46,44
sec_410,146,219,53,46,47
sec_411,151,200,56,45,50
sec_412,150,200,56,45,49
sec_413,151,245,54,46,51
sec_414,155,192,53,48,54
sec_415,150,226,49,49,52
sec_416,158,196,49,54,55
sec_417,165,202,51,56,58
sec_418,166,227,55,54,57
sec_419,166,228,59,51,56
sec_420,169,217,61,51,57
sec_421,166,193,60,50,56
sec_422,172,196,60,53,59
sec_423,169,211,57,55,57
sec_424,165,211,55,52,58
sec_425,157,192,54,52,51
sec_426,153,191,54,49,50
sec_427,157,198,54,48,55
sec_428,162,224,55,50,57
sec_429,166,194,54,49,63
sec_430,166,197,53,46,67
sec_431,171,219,49,48,74
sec_432,167,220,48,47,72
sec_433,165,200,53,45,67
sec_434,161,219,54,44,63
sec_435,159,201,56,45,58
sec_436,163,260,55,49,59
sec_437,172,258,61,48,63
sec_438,177,189,64,50,63
sec_439,180,232,68,50,62
sec_440,177,199,69,47,61
sec_441,174,241,71,42,61
sec_442,170,194,71,45,54
sec_443,167,226,66,44,57
sec_444,166,212,70,42,54
sec_445,162,246,66,44,52
sec_446,158,233,63,43,52
sec_447,153,231,61,43,49
sec_448,149,226,62,39,48
sec_449,154,197,64,41,49
sec_450,159,227,68,41,50
sec_451,167,201,69,38,60
sec_452,165,247,63,42,60
sec_453,161,210,63,44,54
sec_454,157,257,62,45,50
sec_455,151,234,62,45,44
sec_456,155,254,62,46,47
sec_457,156,253,61,44,51
sec_458,168,194,64,47,57
sec_459,178,191,68,48,62
sec_460,180,194,67,48,65
sec_461,168,267,64,45,59
sec_462,159,280,59,41,59
sec_463,153,281,58,41,54
sec_464,160,193,61,48,51
sec_465,156,194,61,51,44
sec_466,152,276,58,48,46
sec_467,156,227,59,51,46
sec_468,153,271,59,45,49
sec_469,155,245,59,41,55
sec_470,151,329,56,37,58
sec_471,160,208,59,42,59
sec_472,162,216,61,41,60
sec_473,158,243,62,41,55
sec_474,154,248,64,39,51
sec_475,147,263,63,41,43
sec_476,155,198,64,42,49
sec_477,158,196,68,39,51
sec_478,153,213,66,35,52
sec_479,157,213,63,37,57
sec_480,163,229,63,43,57
sec_481,159,196,64,42,53
sec_482,158,201,64,47,47
sec_483,152,219,64,44,44
sec_484,146,239,59,46,41
sec_485,147,227,60,44,43
sec_486,147,198,58,44,45
sec_487,150,197,55,50,45
sec_488,143,239,55,45,43
sec_489,144,212,56,47,41
sec_490,145,210,58,46,41
sec_491,143,194,58,48,37
sec_492,141,190,53,49,39
sec_493,140,188,54,48,38
sec_494,145,224,55,49,41
sec_495,148,201,56,47,45
sec_496,153,192,54,47,52
sec_497,162,198,55,49,58
sec_498,167,226,55,49,63
sec_499,178,193,57,56,65
sec_500,171,210,55,50,66
sec_501,165,235,55,44,66
sec_502,160,238,52,45,63
sec_503,155,231,55,42,58
sec_504,147,217,53,44,50
sec_505,145,193,54,44,47
sec_506,138,272,52,40,46
sec_507,141,244,54,40,47
sec_508,135,200,52,38,45
sec_509,140,193,57,40,43
sec_510,140,197,61,36,43
sec_511,134,202,60,34,40
sec_512,131,285,61,28,42
sec_513,139,213,64,30,45
sec_514,138,229,64,28,46
sec_515,147,219,66,30,51
sec_516,150,192,63,29,58
sec_517,150,197,61,31,58
sec_518,156,205,59,38,59
sec_519,154,239,58,39,57
sec_520,154,205,58,40,56
sec_521,155,215,57,41,57
sec_522,157,192,60,41,56
sec_523,150,206,56,38,56
sec_524,144,190,59,39,46
sec_525,144,192,57,39,48
sec_526,143,218,55,41,47
sec_527,145,307,56,40,49
sec_528,144,254,55,39,50
sec_529,150,199,55,36,59
sec_530,154,199,58,36,60
sec_531,148,224,56,35,57
sec_532,151,249,53,43,55
